Referencia;Tipo_vivienda;Dirección;Barrio;Distrito;Población;Superficie construida;Superficie útil;Superficie solar;Habitaciones;Baños;Planta;Antigüedad;Conservación;Gastos de comunidad;Precio;Precio/m²;PMZona;PMm²Zona;RMP;RMH;Descripción;Url_foto;Url_vivienda
 4511663-11789238;Piso;Calle del Camino de Leganés, cerca de Avenida de Felipe II;Centro ;Móstoles;Móstoles;124.0;120.0;0.0;3;2; 5; Entre 30 y 50 años; Reformado;;1290.0;10.4;1043.64;13.12;12566.0;34529.0;"Reformado, con dos ascensores, garaje y un trastero puerta con puerta a la vivienda, jardines, portero. Luminoso y con vistas y jardines en urbanización cerrada. Todos los servicios junto a la vivienda, centro salud, farmacia, colegios, supermercado justo enfrente, dos polideportivos, uno es municipal otro privado a 150metros.
Bus a la puerta y bus madrid a 300 metros. Todo en uno. Un hogar para disfrutarlo.";https://fotos.imghs.net/apps/1097/974/1097_0_foto_20170929190402765_945856909299974.jpg;https://www.pisos.com/alquilar/piso-mostoles_centro-945856909299974_109700/
 4990706-3djman;Piso;Calle Nueva;Centro ;Villaviciosa de Odón;Villaviciosa de Odón;100.0;90.0;0.0;3;2; 1; Entre 30 y 50 años; En buen estado;;1400.0;14.0;2453.57;10.8;19257.0;58788.0;"INMODON ALQUILA PISO PARA ESTUDIENTES:
¡Increíble piso en alquiler en Villaviciosa de Odón! Este espacioso y luminoso piso de 100 m2 está destinado especialmente para estudiantes durante la temporada universitaria. Cuenta con 3 dormitorios equipados con camas de 90 cm, mesas de estudio y armarios. Además, el salón y dos de los dormitorios disponen de aire acondicionado para mayor comodidad.

El inmueble cuenta con 2 baños y una cocina con salida a un patio, ideal para disfrutar del aire libre. Su ubicación es inmejorable, en pleno centro de Villaviciosa de Odón, con parada de autobús cercana y una amplia oferta de comercios. Además, podrás disfrutar de zonas verdes cercanas y del patrimonio cultural de la zona, como el Castillo, la fuente de Los Tres Canos y el Palacio de Manuel de Godoy.

La Universidad Europea de Madrid se encuentra a pocos minutos, y la conexión con Madrid es rápida y cómoda, a menos de 20 km y con buena conexión a través de la M-40 o M-50. Si buscas tranquilidad y un ambiente agradable, este piso es ideal para ti. No pierdas la oportunidad de vivir en este increíble lugar.

Características adicionales:
- Superficie construida: 100 m²
- Superficie útil: 90 m²
- Terraza y balcón
- Segunda mano/Buen estado
- Armarios empotrados
- Planta 1, exterior
- Sin ascensor
- Orientación Norte, Sur
- Cocina con electrodomésticos y casa amueblada
- Aire acondicionado
- Jardín

MEJOR VER.";https://fotos.imghs.net/apps/990706/40041137087.990706/990706_40041137087_1_20231214180058186.jpg;https://www.pisos.com/alquilar/piso-villaviciosa_de_odon_centro-40041137087_990706/
 IF76920-MARNEGRO AOC;Casa;Calle del Mar Negro;El Guijo-Colonia España ;Galapagar;Galapagar;197.0;;1095.0;3;3;0;;;;2000.0;10.15;1362.06;13.71;14996.0;43503.0;"¡Alquiler con opción a compra!

Agencia inmobiliaria de galapagar zona galapagar - alto de la navata (el pocillo). Oficina hogares galapagar: alquila con opcion a compra: espectacular chalet independiente en la mejor zona de galapagar, cercano a zonas verdes, colegios, parada de autobús, etc…

La vivienda se distribuye de la siguiente forma:

Encontraremos en una sola planta: una cocina amplia con mobiliario de silestone, el salón-comedor con acceso a la terraza, tres dormitorios con baños completos. Dormitorio principal con baño en suite.

Ventanas de doble cristal con persianas domotizadas. Chimenea de pellets.

Dispone de un magnífico jardín que rodea toda la casa, zona de aparcamiento cubierta y piscina.
Pero eso no es todo. ¡Prepárate para quedar asombrado por el jardín moderno de este chalet independiente! Equipado con césped artificial en toda la parcela con riego automático por goteo y múltiples zonas listas para su transformación, este espacio exterior te brinda la posibilidad de crear tu propio paraíso al aire libre. Imagina reuniones, barbacoas, áreas de juego, ¡Las posibilidades son infinitas!

¡No busques más! Esta es tu oportunidad de tener una vivienda que combina el estilo moderno con la comodidad funcional en cada rincón.

No dudes en ponerte en contacto con nosotros para poder ver la vivienda y ver condiciones de financiación 100%.

Solo alquiler con opción compra obligatoria
(664.900€ que se ve reducido según lo que vamos aportando)";https://fotos.imghs.net/apps/1018/276/1018_34753276_1_2023110313115701017.es/images/ads/754d22e8-f8e0-458c-9247-9822ba2309cd;https://www.pisos.com/alquilar/casa-el_guijo_colonia_espana28400-39225621744_101800/
 4512757-ChaléAFr;Casa;Calle de Gloria Fuertes;Mirasierra-Arroyo del Fresno ;Fuencarral-El Pardo; Madrid Capital;461.0;440.0;301.0;3;4;0; Menos de 5 años; A estrenar;;3950.0;8.57;2535.85;14.31;20671.0;55125.0;"ALQUILER de chalé adosado recien terminado de construir, de 4 plantas, en urbanización cerrada de 9 chalés, muy representativa.

Se alquila sin muebles, a excepción de la cocina que tiene sus muebles propios y los electrodomésticos (Encimera por inducción, campa extractora de humos, frigorífico, lavavajillas, lavadora, secadora y microondas).

3/4 dormitorios, 4/5 baños, uno con bañera y los restantes con ducha-aseo.

Calefacción y refrigeración por suelo radiante (aerotermia), en planta baja, primera y ático con gran terraza solarium.

Garaje en planta sótano para 2 coches.

Conserje, jardín en la zona común con piscina y zona de juego para niños.

Próximo al campo de golf de la Federación Española.

A 5'minutos andando de la estación de Metro de Arroyofresno y de Pitis con acceso a Cercanías Renfe, parada de la línea 170 de autobús a 50 metros.

Fácil acceso a M-40.

Zona dotada de todo tipo de equipamientos (Supermercado, colegios, farmacia, hospital, comisaría de policía,.. . ).

Necesario para formalizar el contrato de alquiler: Valoración financiera del inquilino, depositar una mensualidad de fianza y un aval bancario por importe de 2 mensualidades.

*** AF-Real Estate
Somos una consultora especializada en la gestión de activos inmobiliarios, compraventa, alquiler y liquidación de herencias, con asesoramiento legal en todo el proceso. ***.";https://fotos.imghs.net/apps/512757/34229386439.512757/512757_34229386439_1_20230530085646360.jpg;https://www.pisos.com/alquilar/casa-mirasierra_arroyo_del_fresno28049-34229386439_512757/
 IF5032-balmes 1d;Apartamento;Calle de Balmes, 1;Trafalgar ;Chamberí; Madrid Capital;40.0;;0.0;1;1; 4;; En buen estado;;1100.0;27.5;3441.98;25.93;25275.0;56281.0;Apartamento de un dormitorio, cocina equipada con electrodomésticos, zona Metro Iglesia, muy centrico y buenas comunicaciones, en una calle tranquila.;https://fotos.imghs.net/apps/1018/482/1018_4492482_0_2021092907094687295.jpg;https://www.pisos.com/alquilar/apartamento-trafalgar28010-25043213229_101600/
 SA4858-C501088;Casa adosada;Casco Urbano;Centro ;Villaviciosa de Odón;Villaviciosa de Odón;224.0;;0.0;3;3;0;; En buen estado;;2000.0;8.93;2453.57;10.8;19257.0;58788.0;"Amplio chalet adosado en zona tranquila del Casco Urbano de Villaviciosa de Odón, aun que con multitud de servicios y comercios a escasos minutos de la vivienda. Amplio salón y garaje para 2 coches.

La vivienda cuenta con 3 dormitorios (antes 4), 2 baños completos y 1 aseo distribuidos en 3 plantas de la siguiente manera:

Planta calle

El hall distribuidor nos da paso al frente al amplio salón independiente con salida al porche trasero. A la derecha del hall nos encontramos con la cocina, bastante amplia, amueblada a ambos lados y conectada con el salón. Finalmente a la izquierda del distribuidor contamos con un pequeño aseo de cortesía que da servicio a esta planta y las escaleras de subida a la planta primera.

Planta primera

Nos encontramos con los dormitorios. El principal, de 21m² cuenta con 2 grandes ventanas, las cuales inundan de luz la estancia. Por otro lado, nos encontramos con los otros dos dormitorios, también bastante amplios. 2 baños completos dan servicio a esta planta.

Planta semi-sótano

Contamos con un amplio garaje para 2 coches, una estancia / trastero de 19m² y un pequeño cuarto de caldera.

El precio incluye WIFI y limpieza semanal.

NOTA: estas características son meramente informativas. No tienen ningún valor contractual.";https://fotos.imghs.net/apps/1005/562/1005_3756562_4_2023091213091570503.jpg;https://www.pisos.com/alquilar/casa_adosada-villaviciosa_de_odon_centro-37514107930_100500/
 IF5032-TH LA FLORIDA;Apartamento;La Florida-Valdemarín-Aravaca;El Plantío ;Moncloa-Aravaca; Madrid Capital;70.0;;0.0;2;2;; Entre 20 y 30 años; En buen estado;;2200.0;31.43;2545.3;20.32;24659.0;63205.0;Urbanización La Florida, Aravaca, próximos a la Avda. de Valdemarín. Apartamentos en una de las zonas más exclusivas del Noroeste de Madrid. Rápido acceso desde la A-6, a cinco minutos de Moncloa. Zona residencial muy tranquila, cercana a colegios, Hospital de la Zarzuela.;https://fotos.imghs.net/apps/1018/397/1018_11320397_0_2021092907094541253.jpg;https://www.pisos.com/alquilar/apartamento-moncloa_aravaca_el_plantio-72574149946_101600/
 SA119-PA-373;Piso;Calle de Maudes, cerca de Calle de Ponzano;Ríos Rosas ;Chamberí; Madrid Capital;70.0;65.0;0.0;2;1; 1;; En buen estado;;1750.0;25.0;3441.98;25.93;25275.0;56281.0;"Este piso se encuentra en Calle de Maudes, Madrid, Madrid, situado en el distrito de Chamberí.

Este piso se encuentra en Calle de Maudes, Madrid, situado en el distrito de Chamberí.

BONITA VIVIENDA
REFORMADA COMPLETAMENTE
70m2
2 dormitorios
1 Vestidor
Salón con terraza incorporada
Cocina equipada ( frigorífico, lavadora, vitrocerámica, horno y microondas)
Baño completo con plato de ducha
Suelo de tarima de madera noble
Ventanas pvc puente térmico oscilobatientes automáticas
Puertas lacadas en blanco
Aire acondicionado
Calefacción central
Exterior
Orientada a zonas comunes
Conserje
Plaza de garaje (opción 2ª plaza)

Precio de la vivienda; 1.750, 00 euros/mes
Fianza: 1.750,00 euros
Gastos de comunidad: Por cuenta del propietario

FECHA DE ENTREGA DE LA VIVIENDA; 01/02/2024

Excelente ubicación.

Dispone de comercio de barrio, centros comerciales, colegios, hospitales, gran oferta de restaurantes y ocio, farmacias, hospitales.

Bien comunicada con líneas de autobús y estaciones de metro.


Confíanos tu vivienda en venta o en alquiler. Más de 25 años de experiencia nos avalan.";https://fotos.imghs.net/apps/1005/689/1005_3833689_3_2023121221120381842.jpg;https://www.pisos.com/alquilar/piso-rios_rosas28003-40062356437_100500/
 4517258-20277044;Chalet;Calle de Miguel Hernández, 5;;Miraflores de la Sierra;Miraflores de La Sierra;174.0;;0.0;4;3;0;; A estrenar;;1250.0;7.18;1250.0;7.18;14379.0;36547.0;"Tipología 2. Chalet pareado de 174,20m2 construidos en dos alturas, sobre parcela de 436,98m2. Este chalet se une con el vecino en la pared del garaje solamente.
La planta baja consta de: recibidor, cocina con despensa, aseo, habitación-despacho y salón-comedor con chimenea y porche al jardín además de garaje cerrado.
La planta primera consta de: dormitorio principal con terraza y baño con columna de hidromasaje. Otro baño completo y dos dormitorios más, uno de ellos con terraza.
Preciosas vistas de la sierra.
Todos los dormitorios disponen de armarios forrados en madera.
Cocina equipada con muebles, vitrocerámica, horno y campana.
Agua caliente y calefacción por caldera de gas propano canalizado en toda la urbanización con contador individual.
Equipamiento de domótica con alarma, conexión y desconexión de calefacción y riego desde el móvil, a distancia.";https://fotos.imghs.net/apps/1097/623/017097aa-453e-4a8c-adf5-1d3b00b5937b_20181001151239914.JPG;https://www.pisos.com/alquilar/chalet-miraflores_de_la_sierra_centro_urbano-8756948739_109700/
 4992099-2015;Apartamento;Paseo de las Acacias;Acacias ;Arganzuela; Madrid Capital;40.0;40.0;0.0;1;1; Semisótano;; Reformado;;800.0;20.0;1677.38;22.02;20103.0;46699.0;"Bonito apartamento ideal para una persona completamente reformado a dos minutos a pie de la Glorieta de Embajadores. IMPRESCINDIBLE PARA ALQUILARLO: Demostrar solvencia económica en España con nóminas o contratos de trabajo + estancia mínima de un año. Disponible a partir del 1 marzo.

El inmueble está formado por un pequeño salón-comedor con cocina americana y baño independiente con plato de ducha amplio y termo eléctrico. La cocina se encuentra equipada con vitrocerámica, lavadora y frigorífico. El apartamento cuenta con dos ventanas al patio interno de la comunidad (salón y baño) y una ventana al exterior en el dormitorio. Finca con ascensor (que llega al sótano) y portero físico. Gastos de comunidad incluidos en el precio.

Zona comercial, situada en magnífica ubicación, junto a la Glorieta de Embajadores, parada de metro Embajadores (L3) y Cercanías Renfe, con todos los servicios, hostelería, farmacias, colegios, hospitales, centros de salud, supermercados, parques, paradas de autobuses (34, 36, 78, 118, 119, C1, C2) y fácil acceso a las principales carreteras como M30 y A42.

*Si no atendemos su llamada puede dejarnos un whatsapp.
**1 mes de fianza + 1 mes de garantía adicional.
***Se admiten mascotas bajo consulta.";https://fotos.imghs.net/apps/992099/41763060142.992099/992099_41763060142_5_20240208170231658.jpg;https://www.pisos.com/alquilar/apartamento-acacias28005-41763060142_992099/
 SA515-167A748/1084;Piso;Calle de Fundadores;Fuente del Berro ;Salamanca; Madrid Capital;50.0;49.0;0.0;1;1; 4; Más de 50 años;;;1100.0;22.0;3886.67;27.61;25956.0;60217.0;"¡Síguenos en nuestras redes sociales y sé el primero en conocer nuestras novedades en alquiler y venta! Instagram: @servifincasmadrid

¡Bienvenidos a una oportunidad de alquilar un piso en Salamanca-Fuente del Berro!

Con un salón amplio y muy luminoso, con ventanas que dejan afuera el poco sonido proveniente de la calle. ¿Necesitas teletrabajar? Entonces es tu lugar ideal: tienes espacio, luz natural, las ventanas dan a una calle tranquila y es acogedor.

Este hogar cuenta con una espaciosa habitación doble, brindándote un espacio acogedor y tranquilo para descansar después de tus jornadas en la ciudad. Además, encontrarás un baño completo con bañera. 🛁🛌

Cuenta con una cocina equipada. Los suelos de parquet y la carpintería exterior de madera añaden calidez al ambiente. El piso tiene armarios empotrados, y la calefacción central del edificio garantiza tu confort durante todo el año.🏡

Ubicado en una finca con ascensor y portero físico. Además, disfrutarás de una ubicación inmejorable con acceso a autobuses, el metro O'Donnell a pocos pasos, centros comerciales, centros médicos y mucho más. La vida urbana nunca fue tan fácil. 🚇🏥🛍️

Y lo mejor de todo, los gastos de comunidad están incluidos en el precio del alquiler, lo que hace que esta oportunidad sea aún más atractiva. 🏡💰

Si deseas obtener más información o programar una visita, no dudes en ponerte en contacto con nosotros. Tu nuevo hogar en Madrid te espera.";https://fotos.imghs.net/apps/1005/084/1005_44542571084_1_2020061619064828265.jpg;https://www.pisos.com/alquilar/piso-fuente_del_berro28028-865837337_100500/
 500635-111228;Dúplex;Ronda de Sacedilla;Zona Carretera del Plantío ;Majadahonda;Majadahonda;377.0;335.0;0.0;7;5; 2; Entre 20 y 30 años; Reformado;;4000.0;10.61;3328.25;14.16;21248.0;66390.0;"Exclusiva vivienda en la mejor urbanización de majadahonda, maxima seguridad, extraordinarias zonas comunes, junto estacion cercanias renfe, club internacional de tenis y salida directa a-6.

Vivienda duplex de 377 m², integramente reformada, muy bien distribuida, con estupendas y modernas calidades, amplísimas estancias con múltiples versatilidades de uso, + 2 plazas de garaje en el interior del edificio + 1 trastero. (posibilidad de otra plaza adicional además de plazas exteriores dentro de la urbanización, de uso comunitario).

Puerta principal y puerta de servicio.

Desde la entrada principal accedemos a:

- estupendo y representativo hall/recibidor con aseo de invitados y zona de armario gabanero independiente.
- luminoso salón comedor de 55 m² distribuido en 3 ambientes, con amplísimos ventanales y salida a gran terraza con magníficas vistas a la sierra.
- pasillo distribuidor dotado todo lo largo de armarios empotrados.
- 3 dormitorios dobles de gran tamaño, con armarios empotrados.
- cuarto de baño completo.
- zona de cocina dividida en zona comedor de diario independiente, zona de trabajo, terraza-tendedero, despensa y dormitorio de servicio con baño. Posibilidad de electrodomésticos a elección del inquilino. A esta zona se accede también a través de la puerta de servicio para mayor independencia.

Planta alta

Desde el hall de entrada parte una bonita escalera de madera que nos da acceso a la siguiente planta alta donde encontramos:

- un amplio hall-distribuidor.
- el grandísimo dormitorio principal tipo suite con vestidor independiente y acceso directo a su baño privado. Actualmente dicho dormitorio tiene como anexo una preciosa sala de estar/despacho/biblioteca, lo que hace ser una estancia única, pero con posibilidad de independizar.
- otros 3 dormitorios dobles igualmente de gran tamaño y todos ellos con armarios empotrados
1 cuarto de baño completo exterior.

Se trata de una vivienda especial y tradicional, con dos entradas (principal y servicio), ya diseñada desde la reforma con las calidades y distribución modernas, muy bien cuidada y a su vez con muchas posibilidades para adaptarla a las necesidades de quien la ocupe.

La distribución hace que sea la vivienda ideal para grandes familias, por la independencia y dimensiones de las estancias, por su gran capacidad de almacenaje, porque es un vivienda super luminosa, soleada a todas las horas del día y muy bien orientada.

Aire acondicionado individualizado por estancias.
Calefacción y agua caliente centrales con contador individual.
2 plazas de garaje (además de plazas exteriores dentro de la urbanización)
1 trastero

Urbanización cerrada con vigilancia 24h, grandes zonas verdes, piscinas (infantil y de adultos), padel, tenis, zona de juegos multiuso y parque infantil.

Sólo para los que no lo conocen podemos decir que cuenta con la mejor ubicación, frente a la estación de cercanías renfe, salida directa a bus-vao y a-6, a 2 minutos andando al monte de el pilar, zona comercial donde poder desplazarse sin coche para las compras del día, centro comercial sexta avenida y club internacional de tenis.
A tan solo 10 minutos en coche de moncloa.

Todo un lujo de comodidades para el día a día.

Precio: 4.000€/mes.
Se requiere solvencia garantizada.

Si desea visitarla, disponemos de una atención personalizada con amplia disponibilidad horaria.";https://fotos.imghs.net/apps/500635/40839367117.500635/500635_40839367117_38_20240213113957856.jpg;https://www.pisos.com/alquilar/duplex-zona_carretera_del_plantio-40839367117_500635/
 4998664-001331;Piso;Plaza de Jacinto Benavente;Cortes-Huertas ;Centro; Madrid Capital;45.0;40.0;0.0;1;1; 3; Más de 50 años; En buen estado;;1500.0;33.33;2787.63;26.98;19199.0;38360.0;Atencion solo para estudiantes, Magnifico apartamento recién reformado en pleno centro de la capital de Madrid, La vivienda consta de Salon con cocina americana con el dormitorio en salita contigua incorporado con dos camas de 1.05cm, con split de aire acondicionado con bomba de calor Armario, y cuarto de baño moderno con plato de ducha, La finca cuenta con ascensor esta en la tercera planta. Se realiza contrato de 11 meses.;https://fotos.imghs.net/apps/998664/35928824857.998664/998664_35928824857_3_20230706201507953.jpg;https://www.pisos.com/alquilar/piso-cortes_huertas28012-35928824857_998664/
 SA2646-DR.A141;Piso;Calle del Príncipe de Vergara, cerca de Calle de María de Molina;Prosperidad ;Chamartín; Madrid Capital;60.0;55.0;0.0;1;1;;; En buen estado;;1350.0;22.5;3396.94;22.37;28233.0;69670.0;"DOMUM REALTY Alquila: ¡Piso reformado en barrio Salamanca, zona Castellana!

**DISPONIBILIDAD INMEDIATA.

El piso está distribuido en un dormitorio doble con cama de matrimonio y un armario de tres puertas. Un cuarto de baño con plato de ducha y ventana. Una cocina independiente amueblada con armarios lacados en blanco alto brillo, y equipada con electrodomésticos, tales como lavadora, vitrocerámica, campana extractora, horno, microondas y frigorífico combi y todos los utensilios de cocina. Un salón comedor con mesa de cristal para 4 comensales, y un sofá de 4 plazas, un juego de mesas auxiliares, estantería y un televisor Smart TV.

El piso está reformado, tiene paredes lisas, ventanas climalit de PVC con doble acristalamiento, puertas de madera barnizadas, suelos de tarima maciza, techos altos con molduras, aire acondicionado, además de calefacción central incluida en el alquiler. Cuenta con un patio de uso privado y un trastero.

El edificio dispone de portero físico y está muy bien comunicado con el transporte público entre las paradas de metro Diego de León, Avenida de América y Núñez de Balboa aparte de diversas líneas de autobuses. Situado en una zona con varios supermercados, mercados, tiendas, bancos, farmacias, bares y restaurantes.

¡Para más información o para concertar su visita, no dude en contactar con nosotros en cualquier momento, llamando o enviando un mensaje al!";https://fotos.imghs.net/apps/1005/729/1005_103052729_1_2023110222112950741.jpg;https://www.pisos.com/alquilar/piso-chamartin_prosperidad28006-39233717906_100500/
 4515716-12847716;Piso;Castellana;Castellana ;Salamanca; Madrid Capital;230.0;217.0;0.0;4;3; 7; Más de 50 años; Reformado;;4175.0;18.15;3886.67;27.61;25956.0;60217.0;"""excelente oportunidad"". Piso para entrar a vivir. Lujo. Totalmente amueblado. Muy luminoso. 4 dormitorios, el principal en suite con vestidor, cocina totalmente equipada, 2 baños, 1 aseo de cortesia, trastero, calefaccion central, aire acondicionado, conserje todos los dias de la semana...

Muy bien ubicado y comunicado, con todo tipo de servicios alrededor, farmacia, colegios, autobuses, restaurantes, centro comercial ...

Se admiten mascotas

Alquiler larga duracion

Llamar para concertar cita al 638.953. 478

NO DEJE DE VISITARLO.";https://fotos.imghs.net/apps/515716/25864669701.515716/515716_25864669701_36_20220709000013039.jpg;https://www.pisos.com/alquilar/piso-salamanca_castellana28046-25864669701_515716/
 IF5271-157;Piso;Chamberí - Almagro;Almagro ;Chamberí; Madrid Capital;1400.0;;0.0;10;11; 4;; En buen estado;;15000.0;10.71;3441.98;25.93;25275.0;56281.0;"1.400m2 en una sola planta, en ALMAGRO zona, en uno de los mejores edificios de la zona.

Unico piso por planta. 4 plazas de GARAJE. TERRAZAS.

Actualmente la propiedad está físicamente dividida en 2 pisos exteriores. Se alquila la totalidad de la planta. Perfecto para Embajada + residencia del embajador; ú otros usos que le quiera dar el nuevo inquilino.

Piso izquierda:
Buena zona de recibo
2 grandes salones con chimenea, sala de estar y acceso a la TERRAZA.
Aseo
Comedor independiente
Dormitorio principal con vestidor y 2 baños completos.
3 dormitorios para cama de matrimonio, cada uno con su baño
Gran Cocina con isla y con comedor de diario
Laundry (Lavadero)
2 dormitorios de servicio con baño.

Piso derecha:
Buena zona de recibo
Gran salón con acceso a la TERREZA, chimenea.
Sala de estar.
Gran Comedor
Cocina
Gran dormitorio principal con vestidor, baño y salón privado.
2º dormitorio grande con baño.
Dormitorio de servicio con baño

1 mes de fianza + 1 mes de garantía adicional.";https://fotos.imghs.net/apps/1018/767/1018_34423767_1_2023070515070475231.jpg;https://www.pisos.com/alquilar/piso-chamberi_almagro28010-35867831471_101800/
 INB178-4774;Ático;Calle Avda. Rafael Nadal;Valdelacasa ;Alcobendas;Alcobendas;275.0;;0.0;5;5; 3; Menos de 5 años; En buen estado; 453;5800.0;21.09;2528.57;16.28;19394.0;57962.0;La urbanización Jardines del Juncal es uno de los mejores desarrollos urbanísticos de la Comunidad de Madrid. tiene amplias zonas verdes e instalaciones deportivas y culturales. Se encuentra situado en uno de los entornos más privilegiados del norte de Madrid. A 10 minutos de Plaza de Castilla, en la prolongación natural del Arroyo de la Vega de Alcobendas y frente al exclusivo centro comercial Plaza Norte 2.Precioso Atico Duplex con excelentes vistas Distribución: Planta primera: Vestíbulo(14,75m²) con armario, salón muy luminoso con chimenea (31,70m²) cocina (16,60 m²) totalmente equipada con muebles altos y bajos, frigorífico americano, vinoteca, lavavajillas, campana extractora, horno, y vitrocerámica toda de alta calidad, tendedero. dormitorio 1 con baño y salida a terraza con vistas, dormitorio 2, baño, despacho, aseo de cortesía Planta superior: Vestíbulo con armarios y salida a terraza de 61 m²con vistas - habitación principal con baño con doble lavabo, bañera de hidromasaje y ducha y salida a terraza - dormitorio baño Calidades de primera calidad, Control de domótica en toda la vivienda para dar confort y comodidad a toda la vivienda Control de: climatización, persianas, luces, toldos alarma, etcGaraje para tres coches con carga electrica independiente Pintura en liso. PORTERO FISICO - SEGURIDAD CON CAMARAS - Estupendos jardines y piscinaPARA ENTRAR A VIVIR;https://fotos.imghs.net/apps/1038/382/1038_0402-1382_1_2023121112342031250.jpg;https://www.pisos.com/alquilar/atico-alcobendas_valdelacasa-40035636843_103800/
